artist,image,genre,Sep 14 2019,Sep 15 2019,Sep 16 2019,Sep 17 2019,Sep 18 2019,Sep 19 2019,Sep 20 2019,Sep 21 2019,Sep 22 2019,Sep 23 2019,Sep 24 2019,Sep 25 2019,Sep 26 2019,Sep 27 2019,Sep 28 2019,Sep 29 2019,Sep 30 2019,Oct 1 2019,Oct 2 2019,Oct 3 2019,Oct 4 2019,Oct 5 2019,Oct 6 2019,Oct 7 2019,Oct 8 2019,Oct 9 2019,Oct 10 2019,Oct 11 2019,Oct 12 2019,Oct 13 2019,Oct 14 2019,Oct 15 2019,Oct 16 2019,Oct 17 2019,Oct 18 2019,Oct 19 2019,Oct 20 2019,Oct 21 2019,Oct 22 2019,Oct 23 2019,Oct 24 2019,Oct 25 2019,Oct 26 2019,Oct 27 2019,Oct 28 2019,Oct 29 2019,Oct 30 2019,Oct 31 2019,Nov 1 2019,Nov 2 2019,Nov 3 2019,Nov 4 2019,Nov 5 2019,Nov 6 2019,Nov 7 2019,Nov 8 2019,Nov 9 2019,Nov 10 2019,Nov 12 2019,Nov 13 2019,Nov 14 2019,Nov 15 2019,Nov 17 2019,Nov 18 2019,Nov 19 2019,Nov 20 2019,Nov 21 2019,Nov 22 2019,Nov 23 2019,Nov 25 2019,Nov 28 2019,Nov 29 2019,Dec 1 2019,Dec 2 2019,Dec 3 2019,Dec 4 2019,Dec 5 2019,Dec 6 2019,Dec 7 2019,Dec 8 2019,Dec 9 2019,Dec 10 2019,Dec 11 2019,Dec 12 2019,Dec 13 2019,Dec 14 2019,Dec 15 2019,Dec 16 2019,Dec 17 2019,Dec 18 2019,Dec 19 2019,Dec 20 2019,Dec 21 2019,Dec 22 2019,Dec 23 2019,Dec 25 2019,Dec 26 2019,Dec 27 2019,Dec 30 2019,Dec 31 2019,Jan 2 2020,Jan 3 2020,Jan 4 2020,Jan 5 2020,Jan 6 2020,Jan 7 2020,Jan 8 2020,Jan 9 2020,Jan 10 2020,Jan 11 2020,Jan 12 2020,Jan 13 2020,Jan 15 2020,Jan 16 2020,Jan 17 2020,Jan 18 2020,Jan 19 2020,Jan 20 2020,Jan 21 2020,Jan 22 2020,Jan 23 2020,Jan 24 2020,Jan 25 2020,Jan 26 2020,Jan 27 2020,Jan 28 2020,Jan 29 2020,Jan 30 2020,Jan 31 2020,Feb 1 2020,Feb 2 2020,Feb 3 2020,Feb 4 2020,Feb 5 2020,Feb 6 2020,Feb 7 2020,Feb 8 2020,Feb 9 2020,Feb 10 2020,Feb 11 2020,Feb 12 2020,Feb 13 2020,Feb 14 2020,Feb 15 2020,Feb 16 2020,Feb 17 2020,Feb 18 2020,Feb 19 2020,Feb 20 2020,Feb 21 2020,Feb 22 2020,Feb 23 2020,Feb 24 2020,Feb 25 2020,Feb 26 2020,Feb 27 2020,Feb 28 2020,Feb 29 2020,Mar 1 2020,Mar 2 2020,Mar 3 2020,Mar 4 2020,Mar 5 2020,Mar 6 2020,Mar 7 2020,Mar 8 2020,Mar 9 2020,Mar 10 2020,Mar 11 2020,Mar 12 2020,Mar 13 2020,Mar 14 2020,Mar 15 2020,Mar 16 2020,Mar 17 2020,Mar 18 2020,Mar 19 2020,Mar 20 2020,Mar 21 2020,Mar 22 2020,Mar 23 2020,Mar 24 2020,Mar 25 2020,Mar 26 2020,Mar 27 2020,Mar 28 2020
Death Grips,https://lastfm.freetls.fastly.net/i/u/avatar150s/9ee3a02f31f787d51b2be4f3c70e0ccb,hip-hop,3,4,8,16,,,44,,,,,,,,46,,,,,,,,,58,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,91,,,,,97,98,,,,,110,112,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,125,,,,,,,,,126,,,,,,,,131,145,,,,,,,,,,146,148,150,,157,158,159,162,164,184,,,,187,,,,,188,190,,191,192,212,,,,,213,214,216,,,,217,219,220,238,,,,,,,239,,,,,,,,
JPEGMAFIA,https://lastfm.freetls.fastly.net/i/u/avatar150s/eff3a7c76383c7211305466720f0657b,hip-hop,2,37,74,89,,90,,,91,104,140,179,184,,199,,,,,,,,213,,,,226,,,,,,227,,,,,,,,,,,,239,,254,,,,262,,,,,,274,,,,277,,,,,,278,,,,,,,,,,,,,,280,281,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,,,,,294,,,306,307,308,,,,,,,,,311,,,312,,,,,313,,,,,,315,,317,319,,,320,,321,,322,,,325,326,327,,328,,,329,,,,337,339,378,,,,,383,,384,388,,390,392,,
David Bowie,https://lastfm.freetls.fastly.net/i/u/avatar150s/a2cab4a345c445e1a93904e21fc0b9fc,rock,25,77,,89,101,,105,,106,,115,,,,,122,,,,,,,,131,140,142,,,158,,,,,,,,,159,160,193,204,,,,,209,,,,,,,,,215,,,,,,,,,,,,,,,,,,,216,219,,,,,,,,,,,,,,,,,,,,222,223,,,,,,,,235,,,,,,,,,,,236,,,,238,,242,,248,262,,,,,,268,270,274,286,295,299,303,,324,337,340,345,350,354,,362,363,365,366,369,370,,,,371,374,380,387,,,392,394,399,401,413,414,416,417,420,425,428,470,483,486,,,517,519,,,534,544,554,568,,,
88Rising,https://lastfm.freetls.fastly.net/i/u/avatar150s/9b258ebffb631c1597eeca9cc033693b,hip-hop,2,,8,,,,,,,,,,,,,,,,12,,13,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swans,https://lastfm.freetls.fastly.net/i/u/avatar150s/8db9ad957931490cbfc95085b04d8d69,post-punk,9,18,,24,26,49,55,61,69,,98,102,128,141,169,176,,,191,,,,,,198,200,,,,,,,,,203,,,,,,,213,,,231,242,261,269,270,,,,,,,273,287,,295,304,311,351,362,,,,,,,,,,,364,,,,,378,,,,,,,386,388,,,,,391,396,,,398,,,399,413,,,,,,,,,,,415,,,423,424,,,,,,,,,,427,433,,,,,,437,,,438,,,,,439,440,441,,,,,,443,,444,452,,,453,,454,455,,,,457,,,,,,458,459,460,,,461,,,,,466,478,490,494,506,,,509,,
Queens of the Stone Age,https://lastfm.freetls.fastly.net/i/u/avatar150s/e12805da20c17a2fa1c4fdb2cb6f22d9,stoner rock,2,16,,22,,,,,,,,,,,23,29,55,60,,,67,86,95,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,100,102,,,,,,,,,,,,,,,,,,,,103,,,,,,,110,127,,,,,,,,,,,,,131,,,,132,147,,,150,,,,,,,,,151,,,152,,,,,,,,,,,,,,,,,,,,154,,,,,,,156,157,,,,,,158,159,,,160,,,,161,,,162,,,,,,
the i.l.y's,https://lastfm.freetls.fastly.net/i/u/avatar150s/94af2ab954d98ed67218501e4f48f7e3,noise rock,,3,,4,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daughters,https://lastfm.freetls.fastly.net/i/u/avatar150s/d74cfaff18908e2f3c9bec992cca4217,mathcore,,18,,19,20,,,,21,,,,,,,,,,,22,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,68,,,,,,,,,,,69,,70,,,,,,71,,,,,,72,,,,,,,74,,75,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,
King Crimson,https://static.independent.co.uk/s3fs-public/thumbnails/image/2019/09/26/15/King-Crimson-1974.jpg,progressive rock,,11,,21,31,,40,42,67,,,71,,,,73,,,78,,79,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,129,,,136,,152,,154,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,169,,,,,,,,,,,195,202,,214,217,218,,,,,,,,219,,,,220,,248,249,254,,,,,256,,257,,277,284,339,350,352,360,,,362,,363,379,,380,386,,388,,,,396,399,,,,,,
black midi,https://lastfm.freetls.fastly.net/i/u/avatar150s/12f5aa8ebf42b2e5b4f240b30c3cc720,math rock,,10,,,,,,,14,,,,,,,,35,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,51,,,,,,,,,,,,,,,,,,,52,,61,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
